0,0.5,A,5,M,0
0.5,1.0,A,1,M,0
1.0,1.5,A,5,M,0
1.5,2.0,A,1,M,0
2.0,2.5,A,5,M,0
2.5,3.0,A,5,M,1
3.0,3.5,A,5,M,0
3.5,4.5,A,5,M,1
4.5,5.5,A,1,M,0
5.5,6.0,A,5,M,0
6.0,6.5,A,1,M,0
6.5,7.0,A,5,M,0
7.0,7.5,A,5,M,1
7.5,8.5,A,5,M,0
8.5,9.0,A,1,M,0
9.0,9.5,A,5,M,0
9.5,10.0,A,1,M,0
10.0,10.5,A,5,M,0
10.5,11.0,A,5,M,1
11.0,11.5,A,5,M,0
11.5,12.0,A,5,M,1
12.0,12.5,A,5,D7,1
12.5,13.5,A,1,M,0
13.5,14.0,A,5,D7,0
14.0,15.0,A,1,M,0
15.0,16.5,A,5,M,0
16.5,17.0,A,5/5,D7,1
17.0,17.5,A,5,M,0
17.5,18.0,A,5/5,M,1
18.0,18.5,A,1/5,M,0
18.5,20.5,A,5,M,0
20.5,21.0,A,5/5,D7,1
21.0,21.5,A,5/5,M,0
21.5,22.0,A,5/5,M,1
22.0,22.5,A,5/5,M,0
22.5,23.5,A,1,M,0
23.5,24.0,A,1/5,M,0
24.0,24.5,A,1,M,1
24.5,25.5,A,1,M,0
25.5,26.5,A,5/5,M,0
26.5,27.0,A,1,M,0
27.0,27.5,A,1,M,1
27.5,28.0,A,1/5,M,0
28.0,28.5,A,1,M,1
28.5,29.0,A,1,M,0
29.0,29.5,A,1/5,M,1
29.5,30.0,A,5/5,D7,0
30.0,30.5,A,5/5,M,0
30.5,31.0,A,1,M,1
31.0,31.5,A,5/5,M,1
31.5,32.5,A,1,M,1
32.5,33.5,A,1,M,0
33.5,34.0,A,5/5,D7,0
34.0,34.5,A,5/5,M,0
34.5,36.5,A,1,M,1
36.5,37.5,A,1,M,0
37.5,38.0,A,5/5,D7,0
38.0,38.5,A,5/5,M,0
38.5,39.0,A,5,M,1
39.0,39.5,A,1,M,1
39.5,40.0,A,5/5,D7,1
40.0,40.5,A,5/5,M,0
40.5,41.5,A,1/5,M,1
41.5,42.0,A,1/5,M,0
42.0,42.5,E,5/5,D7,0
42.5,44.0,A,5,M,0
44.0,44.5,A,1,M,0
44.5,45.5,A,5,M,0
45.5,46.5,A,1,M,0
46.5,47.5,A,5,M,0
47.5,48.0,A,5/5,M,0
48.0,50.0,A,5,M,0
50.0,50.5,A,5,D7,0
50.5,51.5,A,1,M,0
51.5,52.0,A,5,D7,0
52.0,52.5,A,1,M,0
52.5,54.5,A,5,M,0
54.5,55.0,A,1,M,0
55.0,55.5,A,5,D7,0
55.5,56.0,A,1,M,0
56.0,56.5,A,5,D7,0
56.5,58.0,A,5,M,1
58.0,58.5,A,5,D7,1
58.5,59.0,A,1,M,0
59.0,59.5,A,5,M,0
59.5,60.0,A,1,M,0
60.0,60.5,A,5,M,0
60.5,61.0,A,5,M,1
61.0,61.5,A,5,M,0
61.5,62.5,A,5,M,1
62.5,63.5,A,1,M,0
63.5,64.0,A,5,D7,0
64.0,64.5,A,5,M,0
64.5,65.0,A,1,M,0
65.0,65.5,A,4,M,0
65.5,66.0,A,1,M,0
66.0,66.5,A,4,M,0
66.5,67.0,A,5,M,0
67.0,67.5,A,1,M,0
67.5,68.0,A,5,M,0
68.0,69.0,A,1,M,0
69.0,69.5,A,4,M,0
69.5,70.0,A,1,M,0
70.0,70.5,A,4,M,0
70.5,71.0,A,5,M,0
71.0,71.5,A,1,M,0
71.5,72.0,A,5,M,0
72.0,76.5,A,1,M,0
76.5,78.5,A,5,M,1
78.5,79.5,A,1,M,0
79.5,80.0,A,5,M,0
80.0,81.0,A,1,M,0
81.0,82.5,A,5,M,0
82.5,84.5,A,1,M,0
84.5,85.0,E,5,M,1
85.0,86.0,A,5,M,1
86.0,86.5,A,5,D7,1
86.5,87.0,A,1,M,0
87.0,87.5,A,5,M,0
87.5,88.5,A,1,M,0
88.5,89.5,E,1,M,0
89.5,90.0,E,5,M,0
90.0,90.5,E,5,M,1
90.5,92.5,E,5,D7,1
92.5,93.0,A,5,M,0
93.0,94.0,A,1,M,0
94.0,94.5,E,1,M,0
94.5,96.0,E,5,M,1
96.0,96.5,E,5,D7,1
96.5,97.0,A,1,M,0
97.0,97.5,E,5,M,0
97.5,98.0,E,1,M,0
98.0,98.5,E,1,M,1
98.5,99.0,E,4,M,0
99.0,99.5,E,5,D7,0
