0,9.5,A,1,M,0
9.5,10.0,A,5,M,0
10.0,11.0,A,1,M,0
11.0,11.5,A,4,M,0
11.5,12.0,A,1,M,0
12.0,12.5,A,4,M,2
12.5,13.5,A,4,M,0
13.5,14.5,A,4,M,2
14.5,15.0,A,4,M,0
15.0,15.5,A,5,M,0
15.5,16.5,A,5,D7,0
16.5,17.5,A,1,D7,0
17.5,18.0,A,5/5,D7,0
18.0,18.5,A,5,D7,0
18.5,19.0,A,5,D7,3
19.0,19.5,A,5,D7,0
19.5,20.5,A,1,M,0
20.5,21.0,A,5,D7,0
21.0,21.5,A,1,M,0
21.5,22.0,A,1,M,1
22.0,22.5,A,5,D7,0
22.5,23.5,A,5/4,D7,0
23.5,24.0,A,5/4,M,3
24.0,27.0,A,4,M,0
27.0,28.5,A,5,D7,0
28.5,29.0,A,1,D7,0
29.0,30.0,A,5,D7,0
30.0,33.0,A,1,M,0
33.0,33.5,A,5,M,0
33.5,34.0,A,5,D7,0
34.0,35.5,A,5,M,0
35.5,36.0,A,5,D7,0
36.0,39.5,A,1,M,0
39.5,40.0,A,5,M,0
40.0,40.5,A,1,M,0
40.5,42.0,A,5,M,0
42.0,45.0,A,1,M,0
45.0,45.5,A,5,M,0
45.5,46.0,A,5,D7,0
46.0,47.0,A,5,M,0
47.0,50.0,A,1,M,0
50.0,50.5,A,5/4,D7,0
50.5,51.0,A,5/4,D7,3
51.0,53.0,A,1,M,0
53.0,53.5,A,6,M,0
53.5,55.5,A,5,M,0
55.5,57.0,A,5,D7,0
57.0,57.5,A,1,M,1
57.5,58.0,A,1,M,0
58.0,58.5,A,5,D7,0
58.5,59.0,A,1,M,0
59.0,59.5,A,2,m,0
59.5,60.0,A,5/5,D7,0
60.0,61.0,A,5,M,0
61.0,61.5,A,5/5,M,0
61.5,62.0,A,5,M,0
62.0,63.0,A,5,D7,0
63.0,63.5,A,1,M,1
63.5,64.0,A,1,M,0
64.0,64.5,A,5,M,1
64.5,65.0,A,1,M,0
65.0,65.5,A,2,M,0
65.5,66.0,A,5/5,D7,0
66.0,67.0,A,5,M,0
67.0,67.5,e,1,M,0
67.5,68.0,A,1,M,0
68.0,69.5,A,5,M,0
69.5,70.5,A,1,M,0
70.5,71.5,e,1,M,0
71.5,72.0,A,1,M,0
72.0,73.0,e,1,m,0
73.0,73.5,e,1,M,0
73.5,74.0,A,1,m,0
74.0,74.5,A,1,M,0
74.5,76.5,e,1,M,0
76.5,77.0,e,5,M,0
77.0,77.5,e,5,M,1
77.5,78.0,e,1,M,0
78.0,79.0,e,1,m,1
79.0,79.5,e,5,M,2
79.5,80.5,e,1,m,0
80.5,81.0,e,7,D7,0
81.0,81.5,e,1,m,0
81.5,82.0,e,2,m,0
82.0,82.5,e,7/5,d7,0
82.5,83.0,e,5,D7,0
83.0,84.0,e,5,M,0
84.0,85.0,e,1,m,0
85.0,85.5,e,5,D7,0
85.5,86.0,e,1,m,0
86.0,86.5,e,1,m,1
86.5,87.0,e,1/4,M,1
87.0,88.0,e,4,m,0
88.0,88.5,e,5/4,D7,0
88.5,89.0,e,4,m,0
89.0,89.5,e,4,m,1
89.5,90.0,e,2,m,0
90.0,90.5,e,2,M,1
90.5,91.0,e,1,M,0
91.0,91.5,e,4,m,1
91.5,92.0,e,5,D7,0
92.0,92.5,e,1,M,0
92.5,93.0,e,5,D7,0
93.0,94.0,e,1,M,0
94.0,94.5,e,5,D7,0
94.5,97.0,e,1,M,0
97.0,97.5,e,5,M,0
97.5,98.5,e,1,m,0
98.5,99.0,e,1,M,0
99.0,100.0,e,6,M,0
100.0,101.0,e,1,M,0
101.0,102.0,e,5,m,0
102.0,103.0,e,1,m,1
103.0,103.5,e,5,m,0
103.5,104.5,e,1,m,0
104.5,105.0,e,5,D7,0
105.0,105.5,e,1,M,0
105.5,106.0,E,1,M,0
106.0,106.5,E,7,d7,0
106.5,107.5,e,5,M,0
107.5,108.5,E,5,M,0
108.5,109.0,E,1,M,0
109.0,109.5,E,5,D7,0
109.5,110.5,E,1,M,1
110.5,111.0,E,5,M,1
111.0,112.0,E,4,M,0
112.0,112.5,E,5/4,D7,2
112.5,113.0,E,4,M,0
113.0,113.5,E,4,M,1
113.5,115.5,E,4,M,0
115.5,116.0,E,5,M,0
116.0,117.0,E,4,M,0
117.0,117.5,E,5,M,0
117.5,118.0,E,4,M,0
118.0,118.5,E,5,M,0
118.5,119.5,E,4,m,0
119.5,120.0,E,5/2,M,1
120.0,121.0,E,2,m,1
121.0,121.5,E,5/2,M,1
121.5,122.0,E,2,M,0
122.0,122.5,E,2,m,0
122.5,123.0,E,2,m7,0
123.0,124.0,E,5,D7,1
124.0,124.5,E,1,M,0
124.5,125.5,E,2,m,1
125.5,126.0,E,5,D7,0
126.0,127.0,E,1,M,0
127.0,127.5,E,1,m,0
127.5,128.0,E,1,M,0
128.0,128.5,E,5,m,0
128.5,129.0,E,1,M,0
129.0,130.0,E,5,M,0
130.0,131.0,E,5,m,0
131.0,131.5,E,5/2,D7,0
131.5,132.0,E,5,D7,0
132.0,132.5,E,2,m,0
132.5,133.0,E,2,m,1
133.0,133.5,E,2,M,0
133.5,135.0,E,2,m,0
135.0,136.0,E,6,m,0
136.0,136.5,E,3,M,0
136.5,137.0,E,6,m,0
137.0,138.0,E,5,D7,3
138.0,139.0,E,3,m,0
139.0,139.5,E,5,D7,0
139.5,141.0,E,3,m,0
141.0,141.5,E,3,M,0
141.5,142.0,E,5,M,0
142.0,143.0,E,3,M,0
143.0,143.5,E,1,M,0
143.5,144.0,E,5,D7,0
144.0,144.5,E,3,m,0
144.5,145.5,E,1,M,0
145.5,147.0,E,4,M,0
147.0,148.5,E,1,M,0
148.5,149.0,E,5,M,0
149.0,149.5,E,2,m,0
149.5,150.0,E,5,M,0
150.0,151.0,E,1,M,0
151.0,151.5,E,1,m,0
151.5,152.0,E,1,M,0
152.0,152.5,E,1,m,0
152.5,153.0,E,1,M,0
153.0,154.5,E,5,M,0
154.5,155.0,E,5,m,0
155.0,155.5,E,5,D7,0
155.5,156.0,E,5,M,0
156.0,157.0,E,2,m,0
157.0,157.5,E,2,M,0
157.5,158.5,E,2,m,0
158.5,159.0,E,2,M,0
159.0,159.5,E,2,D7,0
159.5,160.5,E,5,M,0
160.5,161.0,E,6,m,1
161.0,162.0,E,5,M,0
162.0,162.5,E,1,M,0
162.5,163.0,E,5,M,1
163.0,163.5,E,5,M,0
163.5,165.0,E,1,M,0
165.0,166.0,E,5,D7,0
166.0,166.5,E,6,M,0
166.5,167.0,E,5,D7,1
167.0,167.5,E,1,M,0
167.5,169.0,E,5,D7,0
169.0,169.5,E,1,M,0
169.5,170.0,E,5,D7,0
170.0,170.5,E,5,M,0
170.5,171.5,E,5,D7,0
171.5,172.0,E,5,D7,2
172.0,172.5,E,1,M,1
172.5,173.0,E,5,D7,1
173.0,173.5,E,6,m,1
173.5,174.0,E,5,D7,0
174.0,175.5,E,1,M,0
175.5,176.5,E,4,M,1
176.5,177.0,E,4,M,0
177.0,178.0,E,1,M,1
178.0,178.5,E,1,M,0
178.5,179.5,E,7/5,D7,0
179.5,180.0,E,7,M,0
180.0,180.5,E,1,M,0
180.5,181.0,E,1,M,1
181.0,182.0,E,1,M,0
182.0,183.0,E,5,D7,0
183.0,188.0,E,1,M,0
188.0,188.5,E,5,M,0
188.5,189.0,E,5,D7,0
189.0,194.0,E,1,M,0
194.0,195.0,E,5,D7,0
195.0,201.0,E,1,M,0
201.0,203.0,E,5/4,D7,3
203.0,203.5,E,4,M,1
203.5,204.0,E,5/4,D7,3
204.0,204.5,E,4,M,0
204.5,205.0,E,5/2,M,2
205.0,205.5,E,2,m,0
205.5,206.0,E,1,M,0
206.0,206.5,E,5,D7,0
206.5,207.0,E,5,M,0
207.0,213.0,E,1,M,0
213.0,213.5,E,7/2,D7,0
213.5,215.0,E,7/2,d7,0
215.0,215.5,E,5/2,M,0
215.5,216.0,E,5/2,D7,1
216.0,216.5,E,2,m,1
216.5,217.0,E,5,D7,0
217.0,217.5,E,2,m,1
217.5,218.0,E,5,M,0
218.0,219.0,E,5,D7,0
219.0,220.5,E,1,M,0
220.5,222.0,E,5,D7,0
222.0,223.5,E,1,M,0
223.5,225.0,E,5,D7,0
225.0,226.5,E,1,M,0
226.5,228.0,E,5,D7,0
228.0,229.5,E,1,M,0
229.5,231.0,E,5,D7,0
231.0,236.0,E,1,M,0
236.0,236.5,E,5/4,M,0
236.5,239.0,E,1,M,0
239.0,239.5,E,5,M,0
239.5,240.0,E,5/4,D7,0
240.0,245.5,f#,5,M,0
245.5,246.0,f#,5,m,0
246.0,246.5,f#,7,M,0
246.5,247.0,f#,7,m,0
247.0,247.5,f#,7,d7,2
247.5,248.0,f#,7,d7,0
248.0,248.5,f#,1,m,0
248.5,249.0,D,7,m,0
249.0,249.5,f#,1,m,0
249.5,250.0,f#,1,m,1
250.0,251.0,f#,1,m,0
251.0,251.5,f#,5,m,0
251.5,252.0,D,7,d7,2
252.0,254.0,f#,7,d7,2
254.0,254.5,f#,1,m,0
